index,gamma
1,0.09610463200087194
2,0.2547283149609458
3,0.39311302642017504
4,0.8632478913772683
5,0.7015074024231098
6,0.6969779895292918
7,0.1775978231504508
8,0.8744114509924457
9,0.6863738664965899
10,0.8395350099618961
11,1.7899268803372133
12,0.38984975769740116
13,0.791824391938963
14,1.2402395992604494
15,0.2356085727171969
16,0.5398924004716414
17,3.5250226263733335
18,0.31196350812912216
19,1.3296829231864236
20,0.3641580159851364
21,0.24139959821501383
22,2.1782941672163787
23,0.3315877983909257
24,0.704552424986398
25,0.4053832603188175
26,0.9821063986544077
27,0.33101565233557906
28,0.6655697389515789
29,0.5900829336961451
30,3.901847293481982
31,1.255419498593926
32,0.8834613511974545
33,0.8165056561161971
34,0.29940918223424534
35,0.026859378478720435
36,0.5095274268489027
37,0.035487088760021684
38,0.31826361808719683
39,0.2292079628497783
40,2.009767576380981
41,0.09032189468983196
42,0.3050341173769741
43,3.3585394013902885
44,0.3493333105247286
45,3.074379568404803
46,0.291729202361192
47,0.5158375780825614
48,0.011841764279011303
49,0.17257723471708084
50,0.2630694432725902
51,0.12507531110848605
52,0.270449112058085
53,0.21775260767812718
54,0.044164538471528944
55,0.1256603452624169
56,0.8323836278388296
57,0.1315274338709873
58,0.6190145904662528
59,0.767097517664185
60,0.5268353258955294
61,2.334138512776238
62,0.03740139914543255
63,0.4930139179035428
64,0.841334697002071
65,0.44096959821829057
66,2.271897608979142
67,0.0589221791401914
68,0.5628138369175781
69,0.728725560118587
70,0.0817048719366012
71,0.4047016797371676
72,1.9534654005123195
73,0.04771297987334881
74,0.3329934927668542
75,1.3547530124837233
76,1.5032106937019947
77,0.5967171984919568
78,3.5164784922241026
79,3.6107816795271748
80,0.21852594176361906
81,0.18870336441225974
82,0.536296228828229
83,1.6788718049741425
84,0.6774512877581836
85,0.37867454989598404
86,0.22859523687200922
87,1.4133476445640505
88,0.37613257143251744
89,2.058433225487309
90,0.5257692358021646
91,0.9694794189662019
92,1.553655880948008
93,0.446335306932718
94,0.7950389216612967
95,0.8806645621035841
96,0.12883471727605045
97,1.499129239172666
98,0.9312391073332783
99,0.34913318488873823
100,1.4849502959459806
101,0.702643543022549
102,0.8510600834058393
103,0.6523492643015832
104,1.884024743095695
105,0.4993505297330966
106,0.04586518486672071
107,0.8840211267474428
108,2.4546710150635747
109,0.7541469532613757
110,0.6961340137444363
111,0.6066154269161377
112,1.5154751504494688
113,0.3516966375532036
114,1.4368121070623445
115,1.1702151711343358
116,1.2225318194653583
117,0.8947962634166896
118,0.8379917004517039
119,1.2793185934572326
120,3.2553527877252724
121,2.214893002074092
122,1.21727495181268
123,0.848459739174556
124,0.6057492105998363
125,1.6058494736735198
126,0.29788312275046297
127,0.05244930058907879
128,0.2758602254541247
129,0.1520088291089365
130,0.10426457523225637
131,0.5601906644193204
132,0.08286668179842047
133,2.1419562195371165
134,0.8389829903004886
135,0.08523862609451578
136,0.31905457940672666
137,3.1777887883840816
138,0.270319482041547
139,5.460511937295206
140,0.5693591431687203
141,0.33333410080066905
142,4.281224423761732
143,0.998974985573292
144,0.3788647546408947
145,0.8321797756852289
146,1.1823132963116152
147,0.4376390402031539
148,0.2467786914358215
149,0.18185049342769807
150,2.965045917005942
151,0.5870828939791694
152,4.789645673358441
153,2.6588689047975813
154,0.5728323335811097
155,0.8283434638706533
156,0.14789414809804927
157,0.07267317859641885
158,0.9221028348426343
